Manufacturer,Model,Type,Min.Price,target,Max.Price,MPG.city,MPG.highway,AirBags,DriveTrain,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Man.trans.avail,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Rear.seat.room,Luggage.room,Weight,Origin,Make
Chevrolet,Lumina_APV,Van,14.7,16.3,18.0,,23.0,,Front,6,,170.0,,,No,20.0,7.0,178.0,142.773540841269,74,44.0,,,3715.0,USA,Chevrolet Lumina_APV
Oldsmobile,Cutlass_Ciera,Midsize,14.2,16.3,,23.0,,Driver only,Front,4,2.2,110.0,,2565.0,No,16.5,5.0,190.0,,70,42.0,28.0,,,USA,Oldsmobile Cutlass_Ciera
Saturn,SL,Small,9.2,11.1,12.9,28.0,,Driver only,Front,4,1.9,85.0,5000.0,2145.0,Yes,12.8,5.0,176.0,102.0,68,40.0,,12.0,,USA,Saturn SL
Ford,Festiva,Small,6.9,7.4,7.9,31.0,33.0,,Front,4,1.3,63.0,,,Yes,,,141.0,90.0,63,33.0,26.0,,1845.0,USA,Ford Festiva
Ford,Mustang,Sporty,,15.9,21.0,22.0,29.0,Driver only,Rear,4,,-112.71581885008499,4600.0,2285.0,Yes,15.4,4.0,180.0,101.0,68,40.0,24.0,12.0,,USA,Ford Mustang
Chevrolet,Cavalier,Compact,8.5,13.4,18.3,,36.0,,Front,4,2.2,110.0,5200.0,2380.0,Yes,15.2,5.0,182.0,,66,38.0,25.0,,134.20762819189486,USA,Chevrolet Cavalier
Nissan,Maxima,Midsize,21.0,21.5,,21.0,26.0,Driver only,Front,6,,,5200.0,2045.0,No,,,188.0,104.0,69,41.0,28.5,14.0,3200.0,non-USA,Nissan Maxima
Oldsmobile,Silhouette,Van,19.5,19.5,19.5,18.0,,,Front,6,3.8,170.0,4800.0,,No,20.0,7.0,194.0,110.0,74,44.0,30.5,,,USA,Oldsmobile Silhouette
Ford,Escort,Small,,10.1,83.73808031560962,,,,Front,4,1.8,127.0,,,Yes,,5.0,,98.0,67,36.0,28.0,12.0,2530.0,USA,Ford Escort
Saab,900,Compact,20.3,28.7,,,26.0,Driver only,Front,4,,140.0,6000.0,2910.0,Yes,18.0,,,99.0,67,22.791886299740177,26.5,,2775.0,non-USA,Saab 900
Cadillac,DeVille,Large,33.0,34.7,36.3,16.0,,Driver only,Front,8,4.9,200.0,4100.0,1510.0,No,18.0,,206.0,114.0,73,43.0,35.0,,,USA,Cadillac DeVille
Oldsmobile,Eighty-Eight,Large,,20.7,,19.0,28.0,Driver only,Front,6,3.8,,4800.0,,No,,,201.0,,74,42.0,,,,USA,Oldsmobile Eighty-Eight
Buick,Century,Midsize,14.2,15.7,17.3,22.0,,Driver only,Front,4,2.2,,5200.0,4921.111161079528,No,16.4,6.0,,105.0,69,,28.0,-2.5664909743183504,2880.0,USA,Buick Century
Honda,Accord,Compact,13.8,17.5,21.2,,31.0,Driver & Passenger,Front,4,7.54226781868657,140.0,5600.0,2610.0,Yes,17.0,4.0,185.0,107.0,67,41.0,,,,non-USA,Honda Accord
Infiniti,Q45,Midsize,45.4,47.9,,,22.0,Driver only,Rear,8,4.5,278.0,6000.0,1955.0,No,,5.0,200.0,113.0,72,42.0,44.969889536753016,15.0,,non-USA,Infiniti Q45
Chevrolet,Astro,Van,14.7,16.6,18.6,15.0,20.0,,4WD,6,4.3,165.0,4000.0,1790.0,No,,8.0,194.0,111.0,78,42.0,33.5,,4025.0,USA,Chevrolet Astro
Hyundai,Scoupe,Sporty,,10.0,,26.0,34.0,,Front,4,1.5,92.0,,2540.0,Yes,11.9,4.0,166.0,94.0,64,34.0,44.969889536753016,9.0,2285.0,non-USA,Hyundai Scoupe
Ford,Probe,Sporty,12.8,14.0,15.2,24.0,,Driver only,Front,4,,115.0,,,Yes,,4.0,179.0,,70,38.0,23.0,,2710.0,USA,Ford Probe
Buick,Roadmaster,Large,,23.7,24.9,16.0,25.0,Driver only,Rear,6,5.7,,4000.0,1320.0,No,,6.0,216.0,116.0,78,45.0,30.5,21.0,4105.0,USA,Buick Roadmaster
Subaru,Loyale,Small,10.5,10.9,83.73808031560962,25.0,,,4WD,4,1.8,90.0,5200.0,3375.0,Yes,,,175.0,97.0,65,35.0,,15.0,2490.0,non-USA,Subaru Loyale
Dodge,Stealth,Sporty,18.5,25.8,33.1,18.0,,Driver only,4WD,6,3.0,300.0,,2120.0,Yes,19.8,-0.7465210791197823,180.0,97.0,72,,20.0,-2.5664909743183504,3805.0,USA,Dodge Stealth
Chrylser,Concorde,Large,18.4,18.4,18.4,,28.0,Driver & Passenger,Front,6,3.3,153.0,5300.0,1990.0,No,18.0,6.0,203.0,,74,,31.0,15.0,3515.0,USA,Chrylser Concorde
Pontiac,Bonneville,Large,19.4,24.4,29.4,19.0,,Driver & Passenger,Front,6,3.8,170.0,,1565.0,No,,6.0,177.0,111.0,74,43.0,30.5,,3495.0,USA,Pontiac Bonneville
Dodge,Caravan,Van,13.6,19.0,,17.0,21.0,Driver only,4WD,6,,,5000.0,1970.0,No,20.0,7.0,175.0,112.0,72,,26.5,,,USA,Dodge Caravan
Mazda,Protege,Small,10.9,11.6,12.3,28.0,36.0,,Front,4,1.8,103.0,5500.0,2220.0,Yes,14.5,-0.7465210791197823,172.0,98.0,66,36.0,26.5,,2440.0,non-USA,Mazda Protege
Chevrolet,Camaro,Sporty,13.4,15.1,16.8,1.1719133899394905,28.0,Driver & Passenger,Rear,6,3.4,160.0,1791.6489150218013,,Yes,15.5,4.0,193.0,101.0,74,43.0,25.0,13.0,,USA,Chevrolet Camaro
Dodge,Spirit,Compact,11.9,13.3,14.7,22.0,,Driver only,Front,4,2.5,100.0,4800.0,,Yes,16.0,6.0,,104.0,68,39.0,30.5,,134.20762819189486,USA,Dodge Spirit
Audi,100,Midsize,30.8,37.7,44.6,19.0,26.0,Driver & Passenger,Front,6,2.8,172.0,,2535.0,Yes,21.1,6.0,193.0,106.0,70,22.791886299740177,31.0,17.0,134.20762819189486,non-USA,Audi 100
Chevrolet,Caprice,Large,,18.8,19.6,17.0,26.0,Driver only,Rear,8,5.0,170.0,4200.0,1350.0,No,23.0,6.0,214.0,,77,42.0,29.5,20.0,3910.0,USA,Chevrolet Caprice
Geo,Metro,Small,6.7,8.4,10.0,,50.0,,Front,3,1.0,55.0,5700.0,,Yes,10.6,4.0,151.0,93.0,63,34.0,27.5,10.0,,non-USA,Geo Metro
Buick,Riviera,Midsize,26.3,26.3,83.73808031560962,19.0,27.0,Driver only,Front,6,3.8,170.0,4800.0,1690.0,No,18.8,5.0,,,73,41.0,44.969889536753016,,3495.0,USA,Buick Riviera
Pontiac,Sunbird,Compact,9.4,11.1,12.8,23.0,31.0,,Front,4,2.0,110.0,5200.0,2665.0,Yes,,5.0,181.0,,66,39.0,25.0,13.0,2575.0,USA,Pontiac Sunbird
Buick,LeSabre,Large,19.9,20.8,21.7,19.0,,Driver only,Front,6,3.8,170.0,4800.0,1570.0,No,18.0,6.0,200.0,111.0,74,42.0,30.5,17.0,,USA,Buick LeSabre
Volkswagen,Passat,Compact,17.6,20.0,,,30.0,,Front,4,2.0,,5800.0,2685.0,Yes,18.5,5.0,,,67,35.0,31.5,14.0,2985.0,non-USA,Volkswagen Passat
Ford,Taurus,Midsize,15.6,20.2,24.8,21.0,30.0,Driver only,Front,6,,140.0,,1885.0,No,16.0,5.0,,106.0,71,40.0,27.5,,,USA,Ford Taurus
Volkswagen,Fox,Small,8.7,9.1,9.5,25.0,33.0,,Front,4,,81.0,5500.0,2550.0,Yes,12.4,4.0,,93.0,63,34.0,26.0,10.0,2240.0,non-USA,Volkswagen Fox
Mazda,RX-7,Sporty,,32.5,,17.0,25.0,Driver only,Rear,rotary,1.3,255.0,,2325.0,Yes,20.0,2.0,169.0,96.0,69,,,,2895.0,non-USA,Mazda RX-7
Volvo,850,Midsize,24.8,26.7,,,28.0,Driver & Passenger,Front,5,2.4,,6200.0,,Yes,19.3,5.0,184.0,,69,38.0,30.0,,134.20762819189486,non-USA,Volvo 850
Mazda,626,Compact,14.3,16.5,18.7,26.0,34.0,Driver only,Front,4,2.5,,5600.0,,Yes,15.5,5.0,184.0,103.0,69,40.0,,14.0,2970.0,non-USA,Mazda 626
Hyundai,Excel,Small,,8.0,,29.0,3.678601402056316,,Front,4,1.5,81.0,5500.0,4921.111161079528,Yes,11.9,-0.7465210791197823,168.0,,63,35.0,,11.0,2345.0,non-USA,Hyundai Excel
Lincoln,Continental,Midsize,33.3,34.3,,17.0,,Driver & Passenger,Front,6,3.8,160.0,4400.0,1835.0,No,,,,109.0,73,,,,3695.0,USA,Lincoln Continental
Pontiac,Grand_Prix,Midsize,,18.5,21.6,19.0,,,Front,6,3.4,200.0,5000.0,,Yes,16.5,5.0,,,72,41.0,,16.0,3450.0,USA,Pontiac Grand_Prix
Hyundai,Sonata,Midsize,12.4,13.9,,20.0,27.0,,Front,4,2.0,128.0,6000.0,,Yes,17.2,,184.0,104.0,69,41.0,31.0,14.0,,non-USA,Hyundai Sonata
Nissan,Altima,Compact,,15.7,18.3,24.0,30.0,Driver only,Front,4,2.4,,5600.0,,Yes,15.9,5.0,,103.0,67,40.0,,14.0,3050.0,non-USA,Nissan Altima
Mitsubishi,Mirage,Small,7.7,10.3,12.9,,33.0,,Front,4,,-112.71581885008499,6000.0,2505.0,Yes,13.2,5.0,172.0,98.0,67,22.791886299740177,26.0,11.0,2295.0,non-USA,Mitsubishi Mirage
Volvo,240,Compact,21.8,22.7,,,28.0,Driver only,Rear,4,,114.0,,2215.0,Yes,15.8,5.0,190.0,104.0,67,37.0,44.969889536753016,14.0,,non-USA,Volvo 240
Toyota,Celica,Sporty,14.2,18.4,22.6,25.0,32.0,Driver only,Front,4,2.2,135.0,,2405.0,Yes,15.9,,,99.0,69,22.791886299740177,23.0,13.0,2950.0,non-USA,Toyota Celica
Honda,Civic,Small,59.64320540245133,12.1,15.8,42.0,,Driver only,Front,4,1.5,102.0,5900.0,2650.0,Yes,11.9,4.0,,103.0,67,,,12.0,2350.0,non-USA,Honda Civic
Mercedes-Benz,300E,Midsize,43.8,61.9,80.0,19.0,25.0,Driver & Passenger,Rear,6,3.2,217.0,5500.0,4921.111161079528,No,18.5,,187.0,110.0,69,,27.0,15.0,3525.0,non-USA,Mercedes-Benz 300E
Lexus,ES300,Midsize,27.5,28.0,28.4,18.0,,Driver only,Front,6,,,5200.0,2325.0,Yes,18.5,-0.7465210791197823,188.0,103.0,70,40.0,27.5,,3510.0,non-USA,Lexus ES300
Subaru,Legacy,Compact,16.3,19.5,,23.0,30.0,Driver only,4WD,4,2.2,,5600.0,2330.0,Yes,15.9,5.0,179.0,102.0,67,37.0,,14.0,3085.0,non-USA,Subaru Legacy
Mercedes-Benz,190E,Compact,,31.9,,20.0,29.0,Driver only,Rear,4,2.3,130.0,5100.0,2425.0,Yes,14.5,5.0,,,67,34.0,,12.0,2920.0,non-USA,Mercedes-Benz 190E
Ford,Tempo,Compact,10.4,11.3,12.2,,27.0,,Front,4,2.3,96.0,4200.0,2805.0,Yes,15.9,5.0,177.0,100.0,68,39.0,27.5,,2690.0,USA,Ford Tempo
Volkswagen,Eurovan,Van,16.6,19.7,22.7,17.0,21.0,,Front,5,,109.0,4500.0,2915.0,Yes,,7.0,187.0,,72,,44.969889536753016,,3960.0,non-USA,Volkswagen Eurovan
Mercury,Capri,Sporty,13.3,14.1,15.0,,26.0,Driver only,Front,4,,,5750.0,,Yes,11.1,4.0,166.0,95.0,65,22.791886299740177,19.0,6.0,2450.0,USA,Mercury Capri
Nissan,Sentra,Small,,11.8,14.9,29.0,,Driver only,Front,4,,110.0,,2435.0,Yes,13.2,5.0,,96.0,66,,,12.0,2545.0,non-USA,Nissan Sentra
Subaru,Justy,Small,7.3,8.4,9.5,33.0,,,4WD,3,1.2,,,,Yes,9.2,4.0,146.0,90.0,60,32.0,,10.0,,non-USA,Subaru Justy
Ford,Crown_Victoria,Large,20.1,20.9,21.7,18.0,26.0,Driver only,Rear,8,4.6,,1791.6489150218013,1415.0,No,20.0,,212.0,114.0,78,43.0,44.969889536753016,,3950.0,USA,Ford Crown_Victoria
Eagle,Vision,Large,,19.3,21.2,20.0,,Driver & Passenger,Front,6,3.5,-112.71581885008499,,1980.0,No,18.0,6.0,,113.0,74,40.0,30.0,,3490.0,USA,Eagle Vision
Acura,Legend,Midsize,29.2,33.9,,,25.0,Driver & Passenger,Front,6,3.2,200.0,5500.0,2335.0,Yes,18.0,5.0,195.0,115.0,71,38.0,30.0,15.0,3560.0,non-USA,Acura Legend
Mazda,323,Small,7.4,8.3,9.1,,37.0,,Front,4,,82.0,5000.0,2370.0,Yes,,4.0,164.0,,66,,27.0,16.0,2325.0,non-USA,Mazda 323
Chrysler,Imperial,Large,29.5,29.5,29.5,20.0,26.0,Driver only,Front,6,,147.0,,1785.0,No,16.0,6.0,,110.0,69,44.0,36.0,17.0,3570.0,USA,Chrysler Imperial
Audi,90,Compact,25.9,29.1,,20.0,,Driver only,Front,6,2.8,,5500.0,2280.0,Yes,,5.0,180.0,102.0,67,37.0,28.0,14.0,3375.0,non-USA,Audi 90
Dodge,Shadow,Small,8.4,11.3,14.2,23.0,29.0,Driver only,Front,4,2.2,-112.71581885008499,4800.0,2595.0,Yes,,5.0,172.0,97.0,67,38.0,26.5,,2670.0,USA,Dodge Shadow
Toyota,Camry,Midsize,,18.2,,22.0,,Driver only,Front,4,2.2,130.0,5400.0,2340.0,Yes,18.5,5.0,188.0,,70,38.0,28.5,15.0,,non-USA,Toyota Camry
Pontiac,Firebird,Sporty,14.0,17.7,21.4,1.1719133899394905,,Driver & Passenger,Rear,6,3.4,-112.71581885008499,4600.0,1805.0,Yes,15.5,4.0,196.0,101.0,75,43.0,44.969889536753016,13.0,,USA,Pontiac Firebird
Toyota,Previa,Van,18.9,22.7,26.6,18.0,22.0,Driver only,4WD,4,2.4,138.0,5000.0,,Yes,19.8,7.0,187.0,,71,41.0,35.0,,,non-USA,Toyota Previa
Suzuki,Swift,Small,7.3,8.6,10.0,,3.678601402056316,,Front,3,1.3,,6000.0,,Yes,10.6,4.0,161.0,93.0,63,22.791886299740177,,-2.5664909743183504,1965.0,non-USA,Suzuki Swift
Chrysler,LeBaron,Compact,14.5,15.8,17.1,23.0,,Driver & Passenger,Front,4,,-112.71581885008499,5000.0,,No,16.0,6.0,,104.0,68,41.0,30.5,14.0,3085.0,USA,Chrysler LeBaron
Mercury,Cougar,Midsize,14.9,14.9,14.9,19.0,,,Rear,6,3.8,140.0,3800.0,1730.0,No,18.0,5.0,95.3213682253188,113.0,73,38.0,,15.0,3610.0,USA,Mercury Cougar
Plymouth,Laser,Sporty,,14.4,17.4,23.0,30.0,,4WD,4,1.8,92.0,5000.0,2360.0,Yes,,,,97.0,67,39.0,,8.0,2640.0,USA,Plymouth Laser
Chevrolet,Lumina,Midsize,13.4,15.9,18.4,1.1719133899394905,29.0,,Front,4,2.2,,,2595.0,No,16.5,6.0,95.3213682253188,108.0,71,40.0,,16.0,3195.0,USA,Chevrolet Lumina
Lincoln,Town_Car,Large,34.4,36.1,37.8,18.0,3.678601402056316,Driver & Passenger,Rear,8,4.6,,1791.6489150218013,1840.0,No,20.0,6.0,219.0,,77,45.0,31.5,22.0,,USA,Lincoln Town_Car
Dodge,Stealth,Sporty,18.5,25.8,33.1,18.0,,Driver only,4WD,6,3.0,300.0,,2120.0,Yes,19.8,-0.7465210791197823,180.0,97.0,72,,20.0,-2.5664909743183504,3805.0,USA,Dodge Stealth
Saturn,SL,Small,9.2,11.1,12.9,28.0,,Driver only,Front,4,1.9,85.0,5000.0,2145.0,Yes,12.8,5.0,176.0,102.0,68,40.0,,12.0,,USA,Saturn SL
Volkswagen,Fox,Small,8.7,9.1,9.5,25.0,33.0,,Front,4,,81.0,5500.0,2550.0,Yes,12.4,4.0,,93.0,63,34.0,26.0,10.0,2240.0,non-USA,Volkswagen Fox
Ford,Tempo,Compact,10.4,11.3,12.2,,27.0,,Front,4,2.3,96.0,4200.0,2805.0,Yes,15.9,5.0,177.0,100.0,68,39.0,27.5,,2690.0,USA,Ford Tempo
