Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,target
2345.0,527325160,60.0,RL,,,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7.0,,1977.0,1994.0,Gable,CompShg,Plywood,Plywood,BrkFace,34.0,TA,TA,CBlock,TA,TA,No,ALQ,795.0,Unf,0.0,0.0,795.0,GasA,Fa,Y,SBrkr,1468.0,,0.0,2263.0,,0.0,2.0,1.0,3.0,,Gd,9.0,Typ,1.0,TA,Attchd,1977.0,Fin,2.0,539.0,TA,TA,Y,0.0,250.0,0.0,,0.0,0.0,,,,0.0,3.0,2006.0,WD ,Normal,235000
2158.0,907295040,20.0,RL,73.0,17227.0,Pave,,IR2,Lvl,AllPub,CulDSac,Mod,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,1999.0,2000.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,859.8844378579166,Gd,TA,PConc,Gd,TA,Gd,GLQ,915.0,Unf,0.0,2846.6190801320727,1341.0,GasA,Ex,Y,SBrkr,,0.0,0.0,1341.0,1.0,-1.0597189908129732,1.0,1.0,1.0,1.0,Gd,5.0,Typ,1.0,TA,Attchd,1869.7825742682028,RFn,2.0,,TA,TA,Y,240.0,84.0,0.0,0.0,0.0,0.0,,,,,,2007.0,WD ,Normal,246900
2286.0,923226300,160.0,RM,21.0,1504.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4.0,4.0,1972.0,,Gable,CompShg,CemntBd,CmentBd,,,TA,TA,CBlock,TA,TA,No,BLQ,252.0,Unf,0.0,,,GasA,TA,Y,SBrkr,-555.0979682483915,,-223.13665560791358,1092.0,0.0,0.0,1.0,1.0,,1.0,TA,,Typ,0.0,,Attchd,1972.0,Unf,,253.0,TA,TA,Y,0.0,,0.0,0.0,0.0,0.0,,,,0.0,5.0,,WD ,Normal,85500
,534225110,90.0,RL,72.0,11072.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5.0,,1965.0,1965.0,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,,Unf,0.0,1728.0,1728.0,GasA,TA,Y,SBrkr,,0.0,0.0,,0.0,,2.0,0.0,6.0,2.0,TA,10.0,Typ,,,Detchd,1987.0,Unf,2.0,576.0,TA,TA,Y,,,,,0.0,0.0,,,,0.0,11.0,2008.0,WD ,Normal,145000
651.0,535353140,-178.015893760329,RL,107.0,10615.0,Pave,,IR1,Bnk,AllPub,Corner,Mod,OldTown,Artery,Artery,2fmCon,2Story,3.0,5.0,,1970.0,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Fa,TA,Mn,BLQ,440.0,Unf,,538.0,978.0,GasA,TA,Y,SBrkr,1014.0,2554.7588362003225,0.0,1699.0,,0.0,2.0,0.0,3.0,2.0,TA,7.0,Typ,0.0,,CarPort,1869.7825742682028,Unf,,,Fa,Fa,Y,0.0,,0.0,0.0,0.0,,,,,0.0,,,WD ,Abnorml,95000
2717.0,905107300,80.0,RL,,7176.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6.0,6.0,1978.0,1978.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,TA,TA,CBlock,TA,Gd,Gd,GLQ,,Unf,0.0,166.0,960.0,GasA,Fa,Y,SBrkr,1040.0,,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,,Fa,Detchd,1979.0,Unf,2.0,616.0,TA,TA,Y,131.0,0.0,0.0,0.0,180.0,0.0,,GdPrv,,0.0,,,WD ,Normal,160500
1895.0,534403420,,RL,188.7414793334639,11382.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,,5.0,1964.0,1964.0,Gable,CompShg,Wd Sdng,Plywood,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,ALQ,54.0,Rec,543.0,533.0,1130.0,GasA,TA,Y,SBrkr,1374.0,0.0,0.0,1374.0,,,1.0,0.0,,2.1819510434159888,TA,7.0,Typ,1.0,TA,Attchd,1964.0,RFn,1.0,286.0,TA,TA,Y,0.0,28.0,84.0,0.0,0.0,0.0,,MnPrv,,-1253.9693313195498,8.0,2007.0,WD ,Normal,147000
1134.0,531373060,60.0,RL,67.0,,Pave,,Reg,Lvl,AllPub,FR2,Gtl,SawyerW,Norm,Norm,1Fam,2Story,,5.0,,2004.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,95.0,Gd,TA,PConc,Gd,TA,Av,Unf,,Unf,0.0,835.0,835.0,GasA,Ex,Y,SBrkr,,828.0,-223.13665560791358,1663.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,,Typ,0.0,,Attchd,2003.0,RFn,2.0,478.0,TA,TA,Y,168.0,68.0,0.0,0.0,,0.0,,,,,7.0,2008.0,WD ,Normal,192500
1594.0,923225080,120.0,RM,,4224.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5.0,6.0,1975.0,1975.0,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,,Unf,0.0,271.0,1040.0,GasA,Gd,Y,SBrkr,1040.0,0.0,0.0,,0.0,,1.0,0.0,3.0,1.0,TA,6.0,Typ,,,Attchd,,Unf,2.0,499.0,TA,TA,Y,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2008.0,WD ,Normal,124000
125.0,534425310,,RL,,8800.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,6.0,,,,Gable,CompShg,MetalSd,MetalSd,BrkFace,156.0,TA,Gd,PConc,TA,TA,Gd,GLQ,763.0,Unf,0.0,173.0,3645.5306589443853,GasA,Ex,Y,SBrkr,,,0.0,1054.0,1.0,0.0,,,,1.0,Gd,6.0,Typ,0.0,,Attchd,,RFn,2.0,480.0,TA,TA,Y,120.0,,0.0,0.0,,-167.5295226762741,,MnPrv,,,5.0,2010.0,WD ,Abnorml,137500
,906385010,20.0,RL,,10402.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,,5.0,,2105.2378384116378,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1226.0,1226.0,GasA,Ex,Y,SBrkr,1226.0,0.0,0.0,,0.0,0.0,2.0,0.0,-0.6555259213363729,2.1819510434159888,Gd,6.0,Typ,0.0,,Attchd,,RFn,3.0,740.0,TA,TA,Y,0.0,36.0,0.0,0.0,0.0,,,,,0.0,5.0,2010.0,WD ,Normal,198900
1394.0,905225040,80.0,RL,85.0,13825.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5.0,6.0,1853.8858250844148,1987.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,533.0,533.0,GasA,TA,Y,SBrkr,1021.0,,0.0,1601.0,0.0,-1.0597189908129732,,0.0,3.0,,TA,6.0,Min2,3.709327020859059,,BuiltIn,1958.0,RFn,1.0,300.0,TA,TA,Y,280.0,34.0,,0.0,0.0,0.0,,,,-1253.9693313195498,12.0,2008.0,WD ,Normal,140000
846.0,907185050,60.0,RL,70.0,8750.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6.0,5.0,1998.0,1998.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,120.0,TA,TA,PConc,Gd,TA,No,GLQ,606.0,Unf,,322.0,928.0,GasA,Ex,Y,SBrkr,928.0,844.0,,1772.0,1.0,0.0,,1.0,3.0,1.0,TA,,Typ,1.0,TA,Attchd,1998.0,RFn,2.0,492.0,TA,TA,Y,150.0,,0.0,0.0,0.0,0.0,,,,0.0,4.0,2014.3374364086912,WD ,Normal,200000
2780.0,907194130,60.0,RL,,,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,,5.0,,,Gable,CompShg,VinylSd,VinylSd,BrkFace,144.0,Gd,TA,PConc,Gd,TA,,Unf,0.0,Unf,0.0,936.0,936.0,GasA,Ex,Y,SBrkr,936.0,840.0,0.0,1776.0,,0.0,-0.8084437610167361,1.0,3.0,,Gd,7.0,Typ,1.0,TA,Attchd,,RFn,2.0,,TA,TA,Y,,96.0,0.0,,0.0,,,,,0.0,2.0,2006.0,WD ,Normal,192500
,527162110,60.0,RL,74.0,10141.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7.0,5.0,1998.0,,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,Gd,Y,SBrkr,-555.0979682483915,833.0,,1718.0,0.0,0.0,2.0,2.555905064168729,3.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,1998.0,Fin,2.0,427.0,TA,TA,Y,0.0,,0.0,0.0,291.0,,,,,0.0,12.0,2009.0,WD ,Normal,185000
1033.0,527380240,60.0,RL,,14311.0,Pave,,IR1,Lvl,AllPub,FR3,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8.0,5.0,1996.0,1996.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,,Gd,TA,PConc,Gd,TA,No,GLQ,1023.0,Unf,0.0,213.0,1236.0,GasA,Ex,Y,SBrkr,-555.0979682483915,2554.7588362003225,0.0,,,,2.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Gd,Attchd,,RFn,3.0,787.0,TA,TA,Y,192.0,180.0,319.9259412829166,0.0,0.0,-167.5295226762741,,GdPrv,,0.0,,2008.0,WD ,Normal,306000
2276.0,921128030,-178.015893760329,RL,85.0,12633.0,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,PosA,PosA,1Fam,1Story,10.0,5.0,,2007.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,,Ex,TA,PConc,Ex,TA,Gd,Unf,0.0,Unf,0.0,1824.0,1824.0,GasA,Ex,Y,SBrkr,,,0.0,1824.0,0.0,0.0,2.0,0.0,3.0,,Ex,8.0,Typ,1.0,Gd,Attchd,2006.0,Fin,3.0,932.0,TA,TA,Y,160.0,36.0,0.0,0.0,108.0,0.0,,,,-1253.9693313195498,9.0,2007.0,New,Partial,392000
1081.0,528228345,120.0,RL,,,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7.0,5.0,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,143.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1073.0,Unf,1042.2426370613898,342.0,1415.0,GasA,Ex,Y,SBrkr,1455.0,0.0,-223.13665560791358,,,,2.0,,2.0,,Gd,6.0,Typ,1.0,TA,Attchd,2003.0,Fin,3.0,644.0,TA,TA,Y,,,0.0,0.0,144.0,0.0,,,,,8.0,2008.0,WD ,Normal,195000
1660.0,527359080,60.0,RL,,,Pave,,Reg,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7.0,7.0,1976.0,1976.0,Gable,CompShg,Plywood,Plywood,BrkFace,,TA,TA,CBlock,Gd,TA,No,Unf,,Unf,0.0,,793.0,GasA,TA,Y,SBrkr,1142.0,793.0,,1935.0,0.0,-1.0597189908129732,,,3.0,,TA,7.0,Typ,1.0,TA,Attchd,1976.0,RFn,,550.0,TA,TA,Y,0.0,113.0,252.0,-98.81835783373346,0.0,0.0,,,,,,2007.0,WD ,Normal,197900
1117.0,528431080,20.0,RL,91.0,12274.0,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,1Fam,1Story,7.0,5.0,2008.0,2008.0,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1417.0,1417.0,GasA,Ex,Y,SBrkr,,,0.0,4249.57633327845,0.0,,2.0,,3.0,2.1819510434159888,Ex,6.0,Typ,,,Attchd,,RFn,2.0,554.0,TA,TA,Y,0.0,60.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2008.0,New,Partial,227680
1477.0,907412080,60.0,RL,188.7414793334639,8320.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,5.0,1853.8858250844148,2004.0,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,,Unf,,280.0,770.0,GasA,Ex,Y,SBrkr,-555.0979682483915,,,1582.0,0.0,0.0,2.0,1.0,,2.1819510434159888,Gd,,Typ,0.0,,Attchd,,RFn,2.0,520.0,TA,TA,Y,0.0,,,0.0,0.0,,,,,-1253.9693313195498,9.0,2008.0,WD ,Normal,185900
,534453140,,RL,,,Pave,,IR1,Bnk,AllPub,Inside,Mod,BrkSide,RRAn,Feedr,1Fam,2Story,4.0,7.0,,,Gable,CompShg,MetalSd,MetalSd,,859.8844378579166,TA,TA,PConc,TA,TA,No,Rec,120.0,Unf,,228.0,,GasA,TA,Y,SBrkr,-555.0979682483915,453.0,0.0,,0.0,0.0,,,2.0,,TA,5.0,Typ,,,Basment,,Unf,1.0,,Fa,TA,Y,,,0.0,0.0,0.0,0.0,,,,,9.0,2014.3374364086912,WD ,Normal,87000
962.0,916386140,20.0,RL,73.0,8925.0,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,,,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,,,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,,GasA,Ex,Y,SBrkr,1466.0,0.0,0.0,1466.0,0.0,,2.0,0.0,3.0,1.0,Gd,7.0,Typ,,,Attchd,,Fin,,610.0,TA,TA,Y,100.0,18.0,0.0,0.0,0.0,,,,,,,2014.3374364086912,WD ,Normal,201000
756.0,903458170,30.0,RM,,6240.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4.0,5.0,,1950.0,Gable,CompShg,MetalSd,MetalSd,,,TA,TA,CBlock,TA,TA,No,BLQ,152.0,Unf,0.0,,,GasA,TA,Y,FuseA,848.0,0.0,,1208.0,,0.0,1.0,0.0,,1.0,TA,,Typ,0.0,,Detchd,,Unf,,,TA,TA,Y,0.0,23.0,112.0,0.0,0.0,,,,,,1.0,2009.0,WD ,Normal,103000
678.0,535450200,50.0,RL,60.0,8064.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6.0,5.0,,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Av,Rec,,Unf,0.0,174.0,795.0,GasA,Gd,N,SBrkr,765.0,368.0,0.0,1133.0,,0.0,,0.0,3.0,2.1819510434159888,TA,5.0,Typ,0.0,,Detchd,1989.0,Unf,2.0,900.0,TA,TA,Y,0.0,0.0,,,,0.0,,,,,12.0,2009.0,COD,Abnorml,128500
2291.0,923228390,,RM,21.0,1890.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4.0,3.0,1976.0,,Gable,CompShg,CemntBd,CmentBd,,,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,,546.0,GasA,Ex,Y,SBrkr,,546.0,,1092.0,0.0,0.0,1.0,,,,TA,6.0,Typ,0.0,,Attchd,1976.0,Unf,1.0,286.0,TA,TA,Y,0.0,,0.0,0.0,0.0,,,GdWo,,0.0,,2007.0,COD,Normal,75190
1736.0,528222030,20.0,RL,73.0,51635.08094472114,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7.0,5.0,1853.8858250844148,2105.2378384116378,Gable,CompShg,VinylSd,VinylSd,,,Gd,TA,PConc,Gd,TA,Av,Unf,,Unf,0.0,1302.0,,GasA,Ex,Y,SBrkr,1302.0,0.0,,1302.0,0.0,,2.0,,3.0,2.1819510434159888,Gd,,Typ,0.0,,Attchd,2007.0,Fin,2.0,436.0,TA,TA,Y,,333.4702546937445,,0.0,0.0,,,,,,8.0,2007.0,New,Partial,176485
440.0,528120160,20.0,RL,76.0,9591.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,,,2004.0,,Hip,CompShg,VinylSd,VinylSd,BrkFace,,Gd,TA,PConc,Ex,TA,Av,GLQ,1088.0,Unf,,625.0,,GasA,Ex,Y,SBrkr,-555.0979682483915,,0.0,1713.0,1.0,0.0,2.0,0.0,3.0,1.0,Ex,7.0,Typ,3.709327020859059,Gd,Attchd,2004.0,Fin,3.0,,TA,TA,Y,0.0,,0.0,0.0,,0.0,,,,0.0,1.0,2009.0,WD ,Normal,274900
2478.0,531379030,60.0,RL,70.0,8304.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6.0,5.0,1997.0,,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,,941.0,GasA,Ex,Y,SBrkr,,896.0,0.0,,0.0,,2.0,1.0,,2.1819510434159888,TA,15.177956801944864,Typ,0.0,,Attchd,,RFn,6.470895471140668,688.0,TA,TA,Y,150.0,333.4702546937445,,,0.0,-167.5295226762741,,GdPrv,,0.0,7.0,,WD ,Normal,187000
369.0,527258020,20.0,RL,124.0,16158.0,Pave,,IR1,Low,AllPub,Inside,Mod,StoneBr,Norm,Norm,1Fam,1Story,7.0,5.0,2005.0,2005.0,Hip,CompShg,VinylSd,VinylSd,Stone,16.0,Gd,TA,PConc,Ex,TA,Av,ALQ,1274.0,Unf,0.0,256.0,1530.0,GasA,Ex,Y,SBrkr,1530.0,0.0,0.0,4249.57633327845,1.0,0.0,,,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,2005.0,Fin,2.0,,TA,TA,Y,168.0,,0.0,0.0,0.0,,,,,0.0,,2009.0,WD ,Normal,260000
2381.0,528106010,,RL,,16259.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9.0,5.0,2006.0,2105.2378384116378,Gable,CompShg,VinylSd,VinylSd,Stone,,TA,TA,PConc,Ex,Gd,Av,Unf,,Unf,0.0,1249.0,1249.0,GasA,Ex,Y,SBrkr,1249.0,1347.0,,2596.0,0.0,0.0,,2.555905064168729,4.0,1.0,Gd,9.0,Typ,0.0,,Attchd,,RFn,3.0,840.0,TA,TA,Y,240.0,154.0,,0.0,0.0,0.0,,,,0.0,9.0,2006.0,New,Partial,342643
